Longitude,Latitude,Theta
101.66,33.7986,0
101.67,33.8086,10
101.68,33.8186,20
101.69,33.8286,30
101.7,33.8386,40
101.71,33.8486,50
101.72,33.8586,60
101.73,33.8686,70
101.74,33.8786,80
101.75,33.8886,90
101.76,33.8986,100
101.77,33.9086,110
101.78,33.9186,120
101.79,33.9286,130
101.8,33.9386,140
101.81,33.9486,150
101.82,33.9586,160
101.83,33.9686,170
101.84,33.9786,180
101.85,33.9886,190
101.86,33.9986,200
101.87,34.0086,210
101.88,34.0186,220
101.89,34.0286,230
101.9,34.0386,240
101.91,34.0486,250
101.92,34.0586,260
101.93,34.0686,270
101.94,34.0786,280
101.95,34.0886,290
101.96,34.0986,300
101.97,34.1086,310
101.98,34.1186,320
101.99,34.1286,330
102,34.1386,340
102.01,34.1486,350
102.02,34.1586,0
102.03,34.1686,10
102.04,34.1786,20
102.05,34.1886,30
102.06,34.1986,40
102.07,34.2086,50
102.08,34.2186,60
102.09,34.2286,70
102.1,34.2386,80
102.11,34.2486,90
102.12,34.2586,100
102.13,34.2686,110
102.14,34.2786,120
102.15,34.2886,130
102.16,34.2986,140
102.17,34.3086,150
102.18,34.3186,160
102.19,34.3286,170
102.2,34.3386,180
102.21,34.3486,190
102.22,34.3586,200
102.23,34.3686,210
102.24,34.3786,220
102.25,34.3886,230
102.26,34.3986,240
102.27,34.4086,250
102.28,34.4186,260
102.29,34.4286,270
102.3,34.4386,280
102.31,34.4486,290
102.32,34.4586,300
102.33,34.4686,310
